auc_pr,auc_pr_ci_high,auc_pr_ci_low,auc_pr_ci_method,auc_roc,auc_roc_ci_high,auc_roc_ci_low,auc_roc_ci_method,fpr_realized_on_test_benign_at_fpr1,fpr_realized_on_test_benign_at_fpr10,fpr_realized_on_test_benign_at_fpr5,group,n_neg,n_pos,pauc_mcclish_fpr0.10,prevalence,score,seed,tpr_at_fpr1,tpr_at_fpr10,tpr_at_fpr5,tpr_at_tau_p95
0.012728099490018081,0.42953819092336937,0.3887048085092887,bootstrap_subsampled_max1500_per_side,0.6448343548936513,0.6518460184984272,0.6378226912888754,delong_analytic,0.01035560687316192,0.10063123337933143,0.05077626819975781,Bot,248561,738,0.5022433881956276,0.0029603006831154556,nll_mu,42,0.037940379403794036,0.05962059620596206,0.05962059620596206,
0.012170839977496448,0.42585804321828313,0.38532863619947166,bootstrap_subsampled_max1500_per_side,0.6401584157979727,0.6472806701730869,0.6330361614228586,delong_analytic,0.010351583715868539,0.1003455892115014,0.05063545769448948,Bot,248561,738,0.5020664174768602,0.0029603006831154556,nll_mc,42,0.037940379403794036,0.05962059620596206,0.05962059620596206,0.05962059620596206
0.012803670900391619,0.40979098257424046,0.3706298189676794,bootstrap_subsampled_max1500_per_side,0.6071045943158849,0.6149522058877384,0.5992569827440315,delong_analytic,0.010363653187748682,0.10034156605420802,0.0504021145714734,Bot,248561,738,0.503136189404429,0.0029603006831154556,neg_elbo,42,0.04200542005420054,0.05962059620596206,0.05962059620596206,
0.007320879827296562,0.41071906686393644,0.371701065247319,bootstrap_subsampled_max1500_per_side,0.6293844360006113,0.6361627134605276,0.6226061585406951,delong_analytic,0.009997545874051038,0.10059904812098439,0.05020095670680436,Bot,248561,738,0.49680818073383237,0.0029603006831154556,mse,42,0.037940379403794036,0.052845528455284556,0.044715447154471545,
0.008772955527845384,0.3759993008530298,0.33862367903047585,bootstrap_subsampled_max1500_per_side,0.5330584361198233,0.5422813611397757,0.5238355110998709,delong_analytic,0.010078009019918652,0.10156058271410237,0.050647527166369624,Bot,248561,738,0.5036638307011432,0.0029603006831154556,latent_maha,42,0.05013550135501355,0.05962059620596206,0.05962059620596206,
0.05013114779067439,0.7848674702505154,0.6796530260602727,bootstrap_subsampled_max1500_per_side,0.9444346606435061,0.9559328326808505,0.9329364886061617,delong_analytic,0.01035560687316192,0.10063123337933143,0.05077626819975781,Web_Attack,248561,190,0.8105257295898237,0.0007638160248602015,nll_mu,42,0.46842105263157896,0.8421052631578947,0.6,
0.04853485559379671,0.7863258159381034,0.6828908613789451,bootstrap_subsampled_max1500_per_side,0.9449462580296397,0.9562980906342163,0.9335944254250631,delong_analytic,0.010351583715868539,0.1003455892115014,0.05063545769448948,Web_Attack,248561,190,0.8108267419956248,0.0007638160248602015,nll_mc,42,0.47368421052631576,0.8421052631578947,0.6526315789473685,0.6526315789473685
0.03699110819171369,0.7616568063705393,0.6489524284803427,bootstrap_subsampled_max1500_per_side,0.9399396822849162,0.9517849865094415,0.9280943780603909,delong_analytic,0.010363653187748682,0.10034156605420802,0.0504021145714734,Web_Attack,248561,190,0.7931337097663793,0.0007638160248602015,neg_elbo,42,0.46842105263157896,0.8421052631578947,0.5210526315789473,
0.0018810095416152985,0.24452496510040456,0.21110892825749408,bootstrap_subsampled_max1500_per_side,0.8070499902703117,0.8106398675642494,0.8034601129763739,delong_analytic,0.009997545874051038,0.10059904812098439,0.05020095670680436,Web_Attack,248561,190,0.47368421052631576,0.0007638160248602015,mse,42,0.0,0.0,0.0,
0.0040464653521168435,0.4290330598811846,0.3185845141603645,bootstrap_subsampled_max1500_per_side,0.836566159021856,0.8595571387619627,0.8135751792817494,delong_analytic,0.010078009019918652,0.10156058271410237,0.050647527166369624,Web_Attack,248561,190,0.6503249880829289,0.0007638160248602015,latent_maha,42,0.0,0.46842105263157896,0.4631578947368421,
0.3160528171492865,0.8662914170082912,0.63904054329543,bootstrap_subsampled_max1500_per_side,0.9927627172002044,0.9964730268156748,0.9890524075847339,delong_analytic,0.01035560687316192,0.10063123337933143,0.05077626819975781,Infiltration,248561,32,0.9619090378958124,0.0001287244612680164,nll_mu,42,0.625,1.0,0.96875,
